aircraft,aircraftLabel,engine,engineLabel,maxAltitude,price,totalProduced
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q1501579,General Electric CF6,41100,,1378
http://www.wikidata.org/entity/Q6478,Airbus A330,http://www.wikidata.org/entity/Q128862,Pratt & Whitney PW4000,41100,,1378
http://www.wikidata.org/entity/Q337467,Антонов Ан-24,http://www.wikidata.org/entity/Q4053965,АИ-24,8400,,1367
http://www.wikidata.org/entity/Q662593,МБР-2,http://www.wikidata.org/entity/Q1783518,АМ-34,,,1365
http://www.wikidata.org/entity/Q662593,МБР-2,http://www.wikidata.org/entity/Q2389899,М-17,,,1365
http://www.wikidata.org/entity/Q706036,Focke-Wulf Fw 58 Weihe,http://www.wikidata.org/entity/Q652115,Argus As 10,,,1350
http://www.wikidata.org/entity/Q275031,Иљушин Ил-14,http://www.wikidata.org/entity/Q15057025,ASh-82T,6500,,1348
http://www.wikidata.org/entity/Q192137,Су-25,http://www.wikidata.org/entity/Q4386273,Р-95Ш,17000,,1320
http://www.wikidata.org/entity/Q696588,Fiat CR.32,http://www.wikidata.org/entity/Q15142425,A.30 R.A.,28871.4,,1312
http://www.wikidata.org/entity/Q461651,Су-15,http://www.wikidata.org/entity/Q1138227,Р-13-300,,,1300
http://www.wikidata.org/entity/Q1538864,Martin PBM Mariner,http://www.wikidata.org/entity/Q15622460,R-2600-22 Twin Cyclone,,,1285
http://www.wikidata.org/entity/Q1065437,Грумман S-2 «Тракер»,http://www.wikidata.org/entity/Q15015299,R-1820-82WA Cyclone 9,,,1284
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,10200,,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,10200,,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051327,AI-20M,33500,,1248
http://www.wikidata.org/entity/Q271559,Антонов Ан-12,http://www.wikidata.org/entity/Q15051324,AI-20K,33500,,1248
